City,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error
Aurora,Arapahoe,80014,32836.0,916.0,6.6,1.1,1549.0,260.0,31,13.9,2315.0,431.0,11.4,5,2818.0,331.0,7.6,3,3179.0,413.0,8.2,4.5,5179.0,469.0,4.8,1.8,4671.0,492.0,4.3,1.8,2247.0,324.0,5.2,3.4,2609.0,288.0,4.4,3,4345.0,384.0,1.8,2,3924.0,360.0,6.7,8.8
Aurora,Arapahoe,80015,50320.0,969.0,4.8,0.8,4120.0,427.0,20.3,6.7,3510.0,401.0,9.8,4.2,3849.0,340.0,3.9,2,4484.0,413.0,2.9,1.4,10372.0,552.0,3.1,1.2,10409.0,555.0,3.6,1.2,4716.0,369.0,3.2,1.8,3942.0,335.0,5,3,3405.0,252.0,5.3,3.5,1513.0,209.0,3.5,8.1
Aurora,Arapahoe,80016,36825.0,920.0,3.2,0.6,2745.0,307.0,10.1,5.6,2564.0,311.0,8.1,3.7,2553.0,308.0,5.6,3.9,2709.0,350.0,1.2,1,8128.0,446.0,2.2,0.9,7658.0,472.0,2.5,1.2,2889.0,329.0,2.8,1.9,2208.0,261.0,0.8,1.2,3887.0,313.0,1.5,1.7,1484.0,216.0,5.4,8.1
Aurora,Arapahoe,80017,26464.0,858.0,7.2,1.5,1557.0,315.0,33.9,12.1,2768.0,472.0,10.9,5.9,2932.0,359.0,4.1,2.5,3259.0,427.0,7,3.7,4835.0,407.0,6.7,3.3,4238.0,426.0,5.5,3.3,2362.0,332.0,6,3.3,1812.0,283.0,3.5,3,1911.0,299.0,3.4,4,790.0,233.0,57.1,43.8
Aurora,Arapahoe,80018,7948.0,495.0,5.6,2.1,234.0,104.0,36.7,36,400.0,195.0,26.1,20.3,657.0,180.0,8.8,5.6,1037.0,206.0,2.7,3.6,2436.0,381.0,1.3,1.5,1408.0,292.0,7.2,5.9,561.0,138.0,9.1,8.1,504.0,144.0,3.9,6,605.0,124.0,0,11.1,106.0,66.0,-,**
Aurora,Adams,80019,1760.0,377.0,6.4,6,167.0,112.0,0,100,140.0,107.0,0,19.2,177.0,119.0,31.6,38.8,89.0,67.0,0,27.9,327.0,123.0,5.1,8.6,447.0,166.0,0,6.5,155.0,100.0,13.5,21.3,65.0,56.0,0,34.9,137.0,97.0,0,32.7,56.0,45.0,-,**
Broomfield,Broomfield,80020,38485.0,612.0,5.4,0.9,2329.0,260.0,14.2,6.3,2788.0,261.0,9.4,3.9,3378.0,281.0,7.7,3.2,3878.0,285.0,4,2.2,7253.0,324.0,3.5,1.3,7147.0,306.0,3.6,1.1,3789.0,290.0,3.4,2,2840.0,248.0,7.9,4.4,3177.0,198.0,10.5,7,1906.0,149.0,0,24.1
Broomfield,Jefferson,80021,26746.0,718.0,3.9,0.9,1607.0,260.0,10.1,7.7,2738.0,342.0,3.7,2.6,3374.0,318.0,3.2,1.9,2658.0,358.0,4,3.7,4270.0,346.0,3.1,1.6,4881.0,381.0,3.2,1.4,2139.0,248.0,6.5,4.1,1595.0,245.0,3.8,2.6,2049.0,194.0,3.1,3.6,1435.0,267.0,0,23.9
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0,3.7,1420.0,216.0,0,33
Dupont,Adams,80024,241.0,129.0,0,19.7,0.0,11.0,-,**,0.0,11.0,-,**,25.0,31.0,0,100,0.0,11.0,-,**,111.0,89.0,0,28.2,0.0,11.0,-,**,40.0,39.0,0,58.2,50.0,58.0,0,69.1,8.0,12.0,-,**,7.0,11.0,-,**
Eldorado Springs,Boulder,80025,432.0,269.0,0,8,47.0,60.0,0,85.9,44.0,70.0,0,43,35.0,49.0,0,49.6,12.0,17.0,0,90.1,2.0,5.0,0,100,137.0,101.0,0,19.5,73.0,64.0,0,32.3,40.0,47.0,0,53.8,22.0,32.0,-,**,20.0,32.0,0,63.7
Lafayette,Boulder,80026,23196.0,461.0,4.8,1.3,1605.0,298.0,4.2,4.8,1630.0,368.0,13,8.2,1703.0,308.0,2.7,2.8,1979.0,314.0,6.5,4.6,4569.0,429.0,3.1,1.9,4114.0,349.0,4.8,2.3,2204.0,238.0,6.4,3.2,2104.0,304.0,2.5,1.8,2023.0,215.0,2.2,3.4,1265.0,254.0,0,14.8
Louisville,Boulder,80027,25672.0,342.0,4.2,0.8,1723.0,220.0,11.6,7.3,1807.0,401.0,6.3,4.1,1962.0,328.0,10.2,3.6,1962.0,316.0,0.6,0.8,4932.0,331.0,2.2,1.7,5569.0,339.0,3.1,1.3,2417.0,255.0,5.3,2.7,1955.0,251.0,2.9,2.3,1652.0,262.0,8.8,7,1693.0,278.0,0,22
Louisville,Boulder,80028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80030,12746.0,642.0,9.4,2,770.0,228.0,26.8,14.4,1046.0,237.0,19.5,11.2,1538.0,280.0,8,5.9,1387.0,283.0,8.2,4.9,2317.0,348.0,3,2.7,2112.0,286.0,7.8,3.5,880.0,174.0,9.2,5.6,861.0,191.0,5.7,6.6,916.0,156.0,30.5,25.6,919.0,191.0,0,65.4
Westminster,Adams,80031,28098.0,713.0,6.6,1.6,1346.0,255.0,24.5,11.6,2129.0,441.0,17,8.1,2570.0,377.0,8.2,4,2892.0,388.0,8.1,4.3,5281.0,390.0,4.2,1.9,4422.0,303.0,3.8,1.8,2375.0,275.0,1.5,1.6,2147.0,301.0,2.3,2.3,3065.0,313.0,4.9,3.9,1871.0,227.0,13,11.3
Wheat Ridge,Jefferson,80033,20794.0,598.0,5.3,1.2,946.0,225.0,6,6,1436.0,261.0,14.2,6.8,1824.0,331.0,3.3,2.8,1858.0,281.0,3.6,2.8,3269.0,366.0,4.1,1.9,2912.0,300.0,6.4,2.9,1884.0,289.0,5.3,3.4,1908.0,261.0,4.3,3.5,2266.0,262.0,1.3,2.2,2491.0,267.0,0,17.5
Wheat Ridge,Jefferson,80034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce City,Adams,80037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomfield,Broomfield,80038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80045,749.0,142.0,0,8.2,0.0,11.0,-,**,216.0,99.0,0,33.3,261.0,91.0,0,28.2,71.0,40.0,0,38.8,77.0,47.0,0,40.7,34.0,27.0,0,48.9,33.0,31.0,0,49.6,4.0,6.0,0,100,53.0,75.0,0,69.1,0.0,11.0,-,**
Aurora,Arapahoe,80046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agate,Elbert,80101,333.0,73.0,2.7,3.1,0.0,11.0,-,**,15.0,13.0,0,90.1,16.0,18.0,0,71.2,27.0,25.0,0,54.8,69.0,43.0,0,37.4,40.0,27.0,12,17.1,57.0,25.0,0,49.6,24.0,13.0,18.2,27.7,58.0,34.0,-,**,27.0,18.0,0,100
Bennett,Adams,80102,4321.0,402.0,4.7,2.4,291.0,103.0,12.5,13.7,214.0,81.0,12.4,17.8,357.0,102.0,1.2,2,256.0,96.0,0,11.8,712.0,170.0,3.8,4.4,931.0,169.0,5.8,4.3,511.0,116.0,6.8,7.8,454.0,129.0,0,11.8,399.0,94.0,6.8,10.1,196.0,53.0,0,60.7
Byers,Arapahoe,80103,2147.0,287.0,4.1,2.4,159.0,75.0,30,42.4,51.0,33.0,0,48.2,151.0,59.0,18.3,19.5,118.0,58.0,0,26.3,269.0,107.0,0,11.5,594.0,144.0,3.5,3.5,131.0,53.0,0,31.7,191.0,60.0,4.8,7.2,312.0,112.0,0,33.3,171.0,86.0,0,69.1
Castle Rock,Douglas,80104,21706.0,556.0,3.7,1,1644.0,364.0,5.1,5.2,1588.0,308.0,4.9,4.1,1655.0,301.0,2.6,2.1,2013.0,327.0,4.8,3.8,4333.0,364.0,3.7,2,4353.0,444.0,1.2,1,1802.0,283.0,5,3.7,1328.0,237.0,4.5,5.1,2126.0,186.0,6.8,3.5,864.0,161.0,14.5,22.6
Deer Trail,Arapahoe,80105,1066.0,156.0,7.7,3.8,35.0,22.0,44.4,52.7,43.0,29.0,8.3,11.7,45.0,25.0,22.6,25.3,96.0,45.0,0,30.6,94.0,38.0,4.2,6.6,207.0,62.0,10.5,8.5,211.0,74.0,2.6,4.3,89.0,30.0,19.2,19.2,166.0,68.0,0,32.7,80.0,34.0,0,100
Elbert,El Paso,80106,3711.0,324.0,5.1,3.1,236.0,98.0,11,15.2,215.0,95.0,0,18.6,178.0,100.0,0,19.5,216.0,113.0,17.7,29.7,412.0,147.0,6,9.7,811.0,194.0,2.8,4.1,607.0,193.0,0.5,0.9,387.0,133.0,12.6,16.2,493.0,156.0,18.8,23,156.0,69.0,0,54.8
Elizabeth,Elbert,80107,9945.0,511.0,6.3,2.2,787.0,193.0,45.3,18.7,570.0,123.0,10.7,14.8,507.0,132.0,5,6,667.0,99.0,3.2,4.6,1222.0,182.0,0.9,1.6,2299.0,193.0,2.1,1.7,1204.0,200.0,3.3,4,1070.0,155.0,14.9,9,1164.0,138.0,0,6.2,455.0,88.0,0,79
Castle Rock,Douglas,80108,18368.0,596.0,4,1,1409.0,277.0,24.7,12.2,682.0,138.0,6.9,6.4,723.0,195.0,0,4.9,1143.0,247.0,2.1,2.3,3763.0,371.0,1.9,1.4,4226.0,421.0,2.9,1.7,1960.0,292.0,2.6,2.7,1427.0,261.0,4.5,4.9,2251.0,233.0,4.3,4,784.0,148.0,0,44.5
Castle Rock,Douglas,80109,14401.0,584.0,3.9,1.3,1113.0,274.0,12.1,9.3,942.0,293.0,12.5,12.9,725.0,228.0,3.3,4.8,1532.0,305.0,1.3,2.3,3525.0,299.0,1.3,1.1,2953.0,339.0,4.8,3.2,833.0,214.0,2.3,2.9,965.0,217.0,3.2,3.7,1126.0,184.0,0,12,687.0,174.0,-,**
Englewood,Arapahoe,80110,17870.0,624.0,6.7,1.6,774.0,227.0,4.3,5.7,1995.0,299.0,14.6,6,1949.0,302.0,5.1,3.7,2014.0,300.0,4.3,3.2,3184.0,314.0,7.2,3.8,2619.0,307.0,7.4,3.6,1612.0,246.0,4.4,3.5,1310.0,228.0,1.1,1.7,1247.0,188.0,2.2,3.4,1166.0,175.0,0,43.5
Englewood,Arapahoe,80111,24803.0,574.0,4,1,1800.0,250.0,17,8.8,1200.0,269.0,10.3,7.1,2206.0,292.0,2.4,1.9,1954.0,255.0,7.2,5.3,4409.0,314.0,1.8,1.1,4580.0,402.0,3,1.3,2421.0,261.0,4.4,2.4,2230.0,233.0,2.5,2.4,2644.0,245.0,1.9,2.1,1359.0,219.0,5.3,8
Englewood,Arapahoe,80112,25850.0,1007.0,4.4,1,1434.0,276.0,19,10.2,2039.0,370.0,7.9,4.1,2666.0,397.0,4.2,2.5,2847.0,493.0,0.6,1,4874.0,504.0,4,2.6,4256.0,319.0,4.5,2.4,2081.0,250.0,5.6,3.2,1737.0,271.0,2.7,2.2,2548.0,275.0,3.2,3.4,1368.0,256.0,0,17.2
Englewood,Arapahoe,80113,18270.0,566.0,8.1,1.9,837.0,210.0,11.3,10.9,1546.0,285.0,15.9,8.4,1778.0,274.0,6.6,3.9,1768.0,273.0,8.1,4.8,2553.0,299.0,5.6,3.4,3400.0,361.0,9,4.1,1718.0,237.0,9,8.1,1495.0,200.0,5,4.1,1577.0,198.0,4.5,5.8,1598.0,192.0,7,11.2
Franktown,Douglas,80116,3343.0,335.0,3.3,1.8,244.0,93.0,0,35.6,139.0,85.0,0,21.1,102.0,61.0,18.2,15.9,180.0,116.0,0,24.9,421.0,122.0,0,7.6,684.0,171.0,1.7,1.8,371.0,127.0,3.8,4,457.0,130.0,13.3,11.4,536.0,134.0,0,16.7,209.0,80.0,0,62.2
Kiowa,Elbert,80117,2261.0,256.0,2.7,1.7,114.0,47.0,36.8,41.5,174.0,98.0,11.6,15.3,155.0,88.0,0,19.3,96.0,49.0,3.7,5.7,204.0,64.0,0,16.1,559.0,111.0,1,2.2,338.0,131.0,3.2,5,256.0,83.0,0,22.7,213.0,59.0,0,37,152.0,55.0,0,52
Larkspur,Douglas,80118,5265.0,392.0,3.2,1.6,409.0,185.0,11.6,13.7,212.0,88.0,0,14.7,185.0,99.0,0,16.2,321.0,131.0,0,13,617.0,153.0,4.7,7.1,1305.0,204.0,2.4,1.9,715.0,156.0,2,1.8,532.0,111.0,10.1,7.2,640.0,104.0,0,20.4,329.0,88.0,0,48.2
Littleton,Arapahoe,80120,25834.0,624.0,5.4,1.2,1376.0,277.0,9.8,8.2,1972.0,371.0,11,5.2,2538.0,357.0,6.7,3.9,1982.0,274.0,2.6,1.9,3663.0,326.0,3.2,1.9,4106.0,348.0,6.4,3.3,2460.0,296.0,2.7,1.9,2225.0,241.0,5.6,2.9,2923.0,230.0,2.8,2.6,2589.0,274.0,0,17.4
Littleton,Arapahoe,80121,15488.0,584.0,5.5,1.5,924.0,162.0,8,8.8,822.0,199.0,7.6,8.8,885.0,235.0,7.3,6.2,1135.0,268.0,2.8,3,2172.0,269.0,6.6,3.7,2670.0,284.0,2.7,1.6,1655.0,283.0,5.1,3.1,1156.0,205.0,6.3,5.6,2065.0,243.0,8.9,7.8,2004.0,260.0,10.7,15.4
Littleton,Arapahoe,80122,25691.0,619.0,4.9,1,1254.0,190.0,11,7.5,1274.0,260.0,15.7,7.9,1777.0,281.0,4.5,2.4,1922.0,356.0,3.1,3.1,3989.0,408.0,3.1,1.9,4889.0,367.0,3.5,1.6,2418.0,277.0,5.3,3.1,2582.0,318.0,5.5,3.2,3541.0,274.0,3.3,2.2,2045.0,252.0,8.9,12.9
Littleton,Jefferson,80123,37868.0,873.0,4.1,0.9,1965.0,243.0,21.8,9.5,2200.0,334.0,9.2,3.8,3099.0,481.0,5.9,3.7,3297.0,364.0,1.5,1.2,6161.0,408.0,2.8,1.5,6979.0,505.0,2.7,1.2,3479.0,293.0,4.2,2.4,3295.0,331.0,2.1,1.7,4558.0,412.0,3.2,2.4,2835.0,252.0,4.4,6.8
Littleton,Douglas,80124,15729.0,551.0,3.6,1,887.0,212.0,12.1,14.3,1489.0,447.0,7.6,5.6,1526.0,254.0,0.8,1.1,1509.0,277.0,1.4,1.5,2730.0,251.0,2.8,1.7,3050.0,325.0,3.8,2,1478.0,225.0,1.2,1.4,1163.0,172.0,3.8,4,1394.0,180.0,6.4,7,503.0,108.0,0,39.9
Littleton,Douglas,80125,8226.0,330.0,3.7,1.6,359.0,131.0,15.4,16.9,418.0,170.0,11.1,15.9,457.0,137.0,6.8,8.2,719.0,180.0,0,4.5,1787.0,215.0,3.7,2.7,1675.0,254.0,1.5,1.9,825.0,187.0,0.8,1.2,710.0,171.0,3,4.9,965.0,119.0,9.5,12.7,311.0,100.0,0,67.2
Littleton,Douglas,80126,32659.0,829.0,3.5,0.8,2746.0,365.0,14,7.4,1706.0,284.0,4,3.3,1635.0,272.0,2.1,2.2,2294.0,343.0,0.7,0.9,7284.0,483.0,2,1.2,7828.0,500.0,3.5,1.6,2789.0,307.0,3.9,2.6,2475.0,281.0,3.8,3.4,2381.0,230.0,4.1,4.4,1521.0,179.0,0,35.6
Littleton,Jefferson,80127,35250.0,764.0,5,0.9,2584.0,351.0,19.9,10.3,2194.0,369.0,6.9,3.6,1814.0,315.0,7.9,4.4,2268.0,303.0,3.4,2.5,6060.0,348.0,2.2,1.2,7878.0,455.0,4,1.8,4333.0,429.0,5.6,3,3202.0,294.0,5.7,2.8,3483.0,263.0,2.3,2,1434.0,211.0,0,23.4
Littleton,Jefferson,80128,28821.0,656.0,4.7,1.1,1954.0,296.0,22.6,10.7,1514.0,268.0,14.2,7.5,2135.0,369.0,1.7,1.6,2386.0,337.0,3,2.2,4921.0,396.0,3.4,2.2,5499.0,411.0,2.4,1.5,3259.0,321.0,4.6,2.3,2419.0,272.0,3.9,2.6,2790.0,240.0,1.1,1.8,1944.0,287.0,11.9,15.1
Littleton,Douglas,80129,22483.0,451.0,3.2,0.8,1576.0,220.0,9.6,6.8,1374.0,263.0,1.1,1.8,1212.0,186.0,5.6,4.7,1734.0,248.0,2.7,2.2,4886.0,265.0,3.8,1.8,5526.0,374.0,2,1,1753.0,244.0,2.2,2.5,1385.0,221.0,3.4,3.2,1704.0,202.0,3.6,4,1333.0,158.0,0,34.6
Littleton,Douglas,80130,21120.0,603.0,3.5,1,1456.0,250.0,3.2,2.8,948.0,211.0,5.5,5.9,1324.0,315.0,3.5,3.4,2000.0,296.0,2,2.5,5486.0,395.0,3,2,4478.0,384.0,4.6,2.4,1418.0,191.0,3.5,2.3,1250.0,215.0,4.3,3.2,1749.0,227.0,0,5.2,1011.0,183.0,7.4,13.2
Louviers,Douglas,80131,174.0,53.0,8.8,16.6,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,27.0,32.0,0,54.8,39.0,33.0,40,52,13.0,15.0,0,95,31.0,25.0,0,55.9,4.0,8.0,0,100,24.0,20.0,0,100,36.0,27.0,-,**
Monument,El Paso,80132,15520.0,609.0,6.6,1.8,1005.0,204.0,39.4,18,934.0,278.0,10.6,9.5,685.0,185.0,0,5.5,661.0,209.0,2.2,3.8,2361.0,293.0,6.5,5.2,4038.0,434.0,3.7,2.2,1769.0,251.0,6.7,3.8,1307.0,250.0,1.9,2.9,2051.0,288.0,4.7,5.7,709.0,190.0,0,39.1
Palmer Lake,El Paso,80133,1829.0,198.0,3.2,2.7,91.0,63.0,0,40.7,101.0,51.0,0,33.6,188.0,91.0,0,19.7,282.0,117.0,0,13.4,289.0,155.0,3.2,5.5,375.0,113.0,5.3,6.6,223.0,85.0,9.8,15.7,100.0,62.0,0,36.3,77.0,46.0,0,71.2,103.0,74.0,-,**
Parker,Douglas,80134,45001.0,860.0,3.6,0.7,3210.0,381.0,13.4,5.5,3023.0,438.0,7.4,4.3,2945.0,373.0,2.3,1.6,4067.0,374.0,4.1,2.4,10636.0,572.0,2.5,1.2,9786.0,605.0,2.4,0.9,4032.0,460.0,2.6,1.6,2685.0,354.0,4.2,3.8,2916.0,265.0,6,4,1701.0,238.0,0,17.7
Sedalia,Douglas,80135,3364.0,319.0,4.3,2.2,228.0,86.0,6.8,9.9,136.0,63.0,0,27.2,27.0,20.0,41.2,47.9,102.0,47.0,8.5,12.5,353.0,75.0,0,9.8,729.0,180.0,7.2,5.2,526.0,111.0,2.3,3.7,410.0,85.0,0,9.9,640.0,118.0,6.3,9,213.0,73.0,100,100
Strasburg,Adams,80136,3884.0,339.0,6.5,2.8,367.0,125.0,12.8,14.5,243.0,112.0,29.9,17.9,174.0,95.0,0,15.8,297.0,127.0,0,13,618.0,129.0,5.9,5.3,787.0,187.0,4.3,4.4,482.0,150.0,0,8.7,390.0,110.0,14.8,11.9,380.0,92.0,0,26.1,146.0,70.0,0,42.5
Watkins,Adams,80137,1296.0,238.0,2.5,2.2,455.0,186.0,0,40.3,23.0,31.0,0,95,98.0,83.0,0,29.7,38.0,46.0,0,46.2,146.0,58.0,0,20.4,223.0,84.0,4.5,5.1,79.0,45.0,9.6,13,75.0,35.0,0,40.7,67.0,48.0,0,46.8,92.0,53.0,-,**
Parker,Douglas,80138,24204.0,832.0,3.6,0.9,2008.0,312.0,6,6.5,1827.0,397.0,8,5.4,830.0,184.0,2.5,2.8,1082.0,221.0,3.2,3.1,5149.0,378.0,3.9,2.1,5709.0,460.0,1.8,1.2,2147.0,308.0,5.7,4,1943.0,370.0,2,1.9,2352.0,250.0,2.8,4.3,1157.0,251.0,0,30.6
Englewood,Arapahoe,80150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood,Arapahoe,80151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood,Arapahoe,80155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
